iter	Passed	Remaining
158	8313	30117
159	8362	30052
160	8414	29998
161	8466	29946
162	8524	29915
163	8579	29870
164	8631	29819
165	8685	29770
166	8734	29708
167	8786	29655
168	8839	29604
169	8888	29541
170	8939	29484
171	8992	29434
172	9041	29371
173	9091	29312
174	9143	29258
175	9194	29201
176	9243	29140
177	9292	29078
178	9343	29021
179	9394	28967
180	9449	28923
181	9504	28878
182	9555	28824
183	9606	28767
184	9657	28711
185	9707	28652
186	9759	28599
187	9807	28536
188	9862	28492
189	9914	28440
190	9964	28380
191	10015	28324
192	10066	28268
193	10115	28209
194	10167	28156
195	10217	28099
196	10268	28043
197	10316	27980
198	10365	27918
199	10419	27870
200	10469	27815
201	10522	27764
202	10572	27706
203	10621	27646
204	10675	27601
205	10728	27551
206	10778	27492
207	10830	27440
208	10883	27390
209	10934	27337
210	10983	27276
211	11032	27215
212	11085	27166
213	11135	27110
214	11186	27054
215	11237	27000
216	11288	26946
217	11341	26896
218	11392	26842
219	11443	26789
220	11497	26741
221	11549	26688
222	11601	26637
223	11654	26587
224	11703	26528
225	11755	26475
226	11804	26418
227	11858	26368
228	11909	26314
229	11960	26261
230	12010	26203
231	12059	26146
232	12109	26089
233	12163	26041
234	12211	25981
235	12263	25930
236	12312	25872
237	12361	25814
238	12415	25765
239	12464	25707
240	12516	25655
241	12566	25599
242	12616	25543
243	12666	25488
244	12718	25436
245	12770	25385
246	12823	25335
247	12875	25283
248	12925	25228
249	12974	25171
250	13026	25119
251	13076	25062
252	13127	25009
253	13179	24958
254	13232	24907
255	13281	24851
256	13334	24800
257	13382	24741
258	13432	24686
259	13481	24630
260	13535	24581
261	13621	24591
262	13715	24614
263	13874	24753
264	13938	24721
265	13998	24682
266	14053	24632
267	14105	24579
268	14158	24527
269	14214	24479
270	14266	24426
271	14319	24374
272	14370	24319
273	14425	24271
274	14479	24220
275	14533	24169
276	14583	24113
277	14638	24063
278	14689	24008
279	14738	23949
280	14787	23892
281	14807	23786
282	14858	23732
283	14912	23682
284	14966	23630
285	15016	23574
286	15066	23519
287	15117	23464
288	15168	23408
289	15220	23355
290	15265	23292
291	15317	23238
292	15368	23184
293	15420	23131
294	15473	23078
295	15525	23026
296	15577	22973
297	15630	22921
298	15684	22870
299	15734	22815
300	15785	22761
301	15838	22708
302	15890	22655
303	15940	22599
304	15989	22542
305	16040	22488
306	16093	22436
307	16142	22379
308	16195	22327
309	16248	22276
310	16298	22220
311	16348	22165
312	16400	22112
313	16453	22060
314	16506	22008
315	16559	21956
316	16608	21899
317	16658	21844
318	16709	21791
319	16761	21737
320	16812	21682
321	16862	21628
322	16912	21572
323	16965	21520
324	17016	21467
325	17067	21413
326	17120	21361
327	17170	21306
328	17221	21252
329	17274	21199
330	17322	21142
331	17367	21082
332	17417	21026
333	17466	20970
334	17519	20918
335	17570	20865
336	17622	20812
337	17671	20755
338	17720	20700
339	17770	20644
340	17817	20587
341	17869	20533
342	17918	20478
343	17969	20424
344	18021	20372
345	18071	20317
346	18122	20263
347	18174	20211
348	18227	20159
349	18278	20105
350	18330	20053
351	18381	19999
352	18431	19945
353	18484	19893
354	18536	19841
355	18588	19789
356	18638	19734
357	18690	19682
358	18739	19627
359	18790	19572
360	18839	19517
361	18890	19464
362	18945	19415
363	18996	19361
364	19053	19314
365	19111	19268
366	19168	19220
367	19224	19171
368	19285	19128
369	19343	19082
370	19401	19035
371	19460	18989
372	19517	18941
373	19577	18897
374	19632	18847
375	19685	18795
376	19737	18742
377	19788	18689
378	19840	18636
379	19893	18584
380	19945	18532
381	19997	18479
382	20045	18423
383	20096	18369
384	20146	18314
385	20197	18261
386	20251	18210
387	20301	18155
388	20352	18102
389	20405	18050
390	20452	17994
391	20504	17941
392	20553	17886
393	20605	17833
394	20655	17779
395	20703	17723
396	20755	17671
397	20806	17617
398	20859	17565
399	20911	17513
400	20964	17461
401	21011	17405
402	21060	17350
403	21111	17296
404	21160	17241
405	21212	17189
406	21264	17136
407	21315	17083
408	21366	17030
409	21413	16974
410	21466	16922
411	21516	16868
412	21566	16814
413	21614	16759
414	21667	16707
415	21717	16653
416	21768	16600
417	21820	16547
418	21871	16495
419	21923	16442
420	21976	16391
421	22027	16337
422	22085	16289
423	22139	16238
424	22191	16186
425	22246	16136
426	22297	16083
427	22349	16031
428	22400	15978
429	22451	15925
430	22499	15869
431	22554	15819
432	22605	15766
433	22656	15713
434	22705	15658
435	22755	15605
436	22806	15552
437	22857	15499
438	22907	15445
439	22956	15391
440	23004	15336
441	23056	15284
442	23109	15232
443	23159	15178
444	23206	15123
445	23257	15070
446	23308	15017
447	23361	14965
448	23411	14912
449	23461	14859
450	23512	14805
451	23564	14753
452	23615	14700
453	23667	14648
454	23718	14595
455	23766	14541
456	23818	14488
457	23871	14437
458	23922	14384
459	23973	14331
460	24025	14279
461	24077	14227
462	24127	14174
463	24175	14119
464	24226	14066
465	24275	14013
466	24324	13959
467	24377	13907
468	24428	13854
469	24479	13802
470	24534	13751
471	24586	13699
472	24637	13646
473	24686	13593
474	24737	13540
475	24788	13488
476	24841	13436
477	24897	13386
478	24950	13334
479	24999	13280
480	25048	13227
481	25098	13174
482	25148	13121
483	25201	13069
484	25251	13016
485	25304	12964
486	25358	12913
487	25408	12860
488	25458	12807
489	25507	12753
490	25558	12701
491	25610	12649
492	25663	12597
493	25712	12544
494	25760	12489
495	25813	12438
496	25864	12385
497	25912	12331
498	25961	12278
499	26010	12224
500	26060	12171
501	26109	12118
502	26158	12065
503	26209	12012
504	26262	11961
505	26313	11908
506	26365	11856
507	26416	11804
508	26466	11751
509	26514	11697
510	26567	11645
511	26616	11592
512	26666	11539
513	26717	11487
514	26769	11435
515	26819	11382
516	26870	11330
517	26926	11280
518	26977	11227
519	27031	11176
520	27082	11123
521	27132	11071
522	27183	11018
523	27232	10965
524	27286	10914
525	27335	10861
526	27384	10808
527	27432	10754
528	27482	10702
529	27534	10650
530	27586	10598
531	27635	10545
532	27686	10492
533	27739	10441
534	27788	10388
535	27838	10335
536	27886	10282
537	27937	10230
538	27988	10177
539	28039	10125
540	28091	10073
541	28139	10020
542	28190	9968
543	28242	9915
544	28291	9863
545	28343	9811
546	28393	9758
547	28442	9705
548	28493	9653
549	28543	9600
550	28594	9548
551	28644	9496
552	28692	9442
553	28743	9391
554	28794	9338
555	28844	9286
556	28896	9234
557	28948	9182
558	29001	9131
559	29052	9078
560	29103	9026
561	29155	8974
562	29203	8921
563	29253	8869
564	29303	8816
565	29353	8764
566	29407	8713
567	29460	8661
568	29509	8608
569	29557	8556
570	29609	8504
571	29661	8452
572	29709	8399
573	29759	8347
574	29808	8294
575	29862	8243
576	29913	8191
577	29965	8139
578	30014	8086
579	30067	8035
580	30119	7983
581	30170	7931
582	30223	7879
583	30274	7827
584	30327	7776
585	30379	7724
586	30431	7672
587	30483	7620
588	30536	7569
589	30585	7516
590	30635	7464
591	30684	7411
592	30734	7359
593	30784	7307
594	30835	7255
595	30884	7202
596	30936	7151
597	30986	7099
598	31037	7046
599	31088	6994
600	31138	6942
601	31188	6890
602	31238	6838
603	31288	6786
604	31338	6733
605	31391	6682
606	31441	6630
607	31491	6577
608	31537	6525
609	31588	6473
610	31638	6420
611	31689	6368
612	31739	6316
613	31789	6264
614	31838	6212
615	31886	6159
616	31937	6108
617	31988	6056
618	32040	6004
619	32091	5952
620	32143	5900
621	32194	5848
622	32242	5796
623	32291	5744
624	32342	5692
625	32396	5640
626	32446	5588
627	32498	5537
628	32546	5484
629	32599	5433
630	32646	5380
631	32698	5329
632	32748	5277
633	32800	5225
634	32850	5173
635	32904	5121
636	32954	5069
637	33002	5017
638	33054	4965
639	33106	4914
640	33157	4862
641	33206	4810
642	33256	4758
643	33308	4706
644	33359	4654
645	33410	4603
646	33461	4551
647	33511	4499
648	33561	4447
649	33611	4395
650	33662	4343
651	33713	4291
652	33762	4239
653	33811	4187
654	33862	4135
655	33911	4083
656	33962	4032
657	34014	3980
658	34064	3928
659	34112	3876
660	34161	3824
661	34211	3772
662	34260	3720
663	34313	3669
664	34365	3617
665	34415	3565
666	34467	3513
667	34517	3462
668	34568	3410
669	34616	3358
670	34665	3306
671	34713	3254
672	34766	3202
673	34813	3150
674	34865	3099
675	34914	3047
676	34966	2995
677	35017	2943
678	35069	2892
679	35121	2840
680	35172	2788
681	35224	2737
682	35275	2685
683	35326	2633
684	35374	2582
685	35427	2530
686	35476	2478
687	35525	2426
688	35578	2375
689	35634	2324
690	35684	2272
691	35735	2220
692	35785	2168
693	35837	2117
694	35890	2065
695	35939	2013
696	35990	1962
697	36040	1910
698	36091	1858
699	36143	1807
700	36195	1755
701	36242	1703
702	36292	1652
703	36344	1600
704	36395	1548
705	36447	1497
706	36495	1445
707	36545	1393
708	36598	1342
709	36648	1290
710	36698	1238
711	36749	1187
712	36799	1135
713	36849	1083
714	36899	1032
715	36952	980
716	37005	929
717	37053	877
718	37105	825
719	37160	774
720	37209	722
721	37258	670
722	37308	619
723	37359	567
724	37410	516
725	37458	464
726	37505	412
727	37555	361
728	37607	309
729	37658	257
730	37708	206
731	37759	154
732	37809	103
733	37864	51
734	37916	0
