iter	Logloss
136	0.3313034426
137	0.3311853651
138	0.330032911
139	0.3299265369
140	0.3297539421
141	0.3296170301
142	0.3294016567
143	0.3292855795
144	0.3290469102
145	0.3288211369
146	0.3287167452
147	0.3286398389
148	0.3285288596
149	0.3284575082
150	0.3282995849
151	0.3279427334
152	0.3272442048
153	0.3270996712
154	0.3267047001
155	0.3265890485
156	0.3265274807
157	0.3264581288
158	0.3262924347
159	0.3261706753
160	0.3260701966
161	0.3259592134
162	0.3258113517
163	0.3257014691
164	0.3255996485
165	0.3254941609
166	0.3253913992
167	0.3252129488
168	0.3251050477
169	0.3249493817
170	0.3246782664
171	0.3245812462
172	0.3245170009
173	0.3244099597
174	0.3243109698
175	0.3240851426
176	0.3239520016
177	0.3238663693
178	0.3238052599
179	0.3237404999
180	0.3236126099
181	0.3234026368
182	0.3233076013
183	0.3229643379
184	0.3228893694
185	0.322811179
186	0.3227287436
187	0.3225184783
188	0.3223310591
189	0.3222046469
190	0.322135088
191	0.32205604
192	0.3219465034
193	0.3218721512
194	0.3217816185
195	0.3216702901
196	0.3215587266
197	0.321479014
198	0.3214076501
199	0.3213187975
200	0.3212492534
201	0.321166768
202	0.32111499
203	0.3208952786
204	0.3207669848
205	0.3206614175
206	0.320582193
207	0.3203071005
208	0.3202088276
209	0.3201175209
210	0.3200539832
211	0.3199779384
212	0.3198664061
213	0.3196646146
214	0.31955191
215	0.3194706446
216	0.3194101148
217	0.3192029987
218	0.3191384527
219	0.3188346657
220	0.3187571056
221	0.3185630801
222	0.3184369874
223	0.3183471702
224	0.3182726172
225	0.3181737092
226	0.3181220233
227	0.3180395653
228	0.3179505479
229	0.317883886
230	0.3177958706
231	0.317691307
232	0.3175935511
233	0.317516662
234	0.3174551394
235	0.3173269605
236	0.3172587474
237	0.3171973264
238	0.3171357812
239	0.3170708259
240	0.3169929315
241	0.3169150294
242	0.3168259706
243	0.3166250733
244	0.3165443805
245	0.3162111834
246	0.3161150005
247	0.3160009618
248	0.3159496189
249	0.3158936934
250	0.3156941583
251	0.3155590326
252	0.3150415553
253	0.3149552826
254	0.3146009984
255	0.3144225426
256	0.3143225146
257	0.314253251
258	0.3141898414
259	0.3141334387
260	0.3139354876
261	0.3137737051
262	0.3134371229
263	0.3133759522
264	0.3131447334
265	0.3130613842
266	0.3129012731
267	0.3128460979
268	0.3127515045
269	0.3125307296
270	0.3124069031
271	0.3122294412
272	0.312163153
273	0.3120472691
274	0.3119053872
275	0.3118011711
276	0.3117504456
277	0.3116532743
278	0.3115970262
279	0.3115422056
280	0.311489725
281	0.3114858017
282	0.3113838199
283	0.3113087647
284	0.3112185304
285	0.3110828556
286	0.3109539194
287	0.3108756193
288	0.3106191016
289	0.310549745
290	0.3105260883
291	0.3104237237
292	0.3103440071
293	0.3102826096
294	0.3101365537
295	0.3100660123
296	0.309899445
297	0.3098002808
298	0.3097028685
299	0.3095782016
300	0.3095096519
301	0.3094318204
302	0.3093391984
303	0.3092568715
304	0.3091835296
305	0.3091184275
306	0.3089992537
307	0.3089297632
308	0.3088258994
309	0.3087360615
310	0.3086516859
311	0.3085649449
312	0.3084909106
313	0.3083007263
314	0.3082383603
315	0.3081465673
316	0.3080808259
317	0.3079702907
318	0.3078012271
319	0.3077317776
320	0.3075524919
321	0.3074519808
322	0.307386519
323	0.3072354171
324	0.3071453339
325	0.307076915
326	0.3069954879
327	0.3069041351
328	0.3067808011
329	0.3066899286
330	0.3066305927
331	0.3065901236
332	0.3065321412
333	0.3064833957
334	0.3064173559
335	0.3061795738
336	0.3061228326
337	0.3060470401
338	0.3059790054
339	0.3059075533
340	0.3058632746
341	0.3057526585
342	0.3056901284
343	0.3055995196
344	0.3053792646
345	0.3053389795
346	0.3049805608
347	0.3048461856
348	0.3047875874
349	0.3047093978
350	0.3046365651
351	0.3045661912
352	0.3044912118
353	0.3044207649
354	0.3043541897
355	0.3042625303
356	0.3042027066
357	0.3040544055
358	0.3039859273
359	0.3039199995
360	0.3038526257
361	0.3037754191
362	0.303405204
363	0.3033383832
364	0.3032646859
365	0.3029142976
366	0.3028209297
367	0.3027528397
368	0.3026557367
369	0.3025967995
370	0.3025320195
371	0.3024538358
372	0.3024104335
373	0.3023400686
374	0.3022407365
375	0.3021932082
376	0.3020136104
377	0.3019378976
378	0.3018862938
379	0.3017921206
380	0.3016603507
381	0.3014394692
382	0.3013843061
383	0.3013352774
384	0.3012773754
385	0.3012049329
386	0.301119847
387	0.3010399558
388	0.3009607204
389	0.3008184445
390	0.300767767
391	0.3006750461
392	0.3005338071
393	0.3004418864
394	0.3003190085
395	0.3002708413
396	0.3001785649
397	0.3001351036
398	0.3000574627
399	0.2998906053
400	0.2998221395
401	0.2997692407
402	0.2997099273
403	0.2996352287
404	0.2995624015
405	0.2993916317
406	0.2991843325
407	0.2990409186
408	0.2989364932
409	0.2988925835
410	0.2987500889
411	0.2986943817
412	0.2985692778
413	0.2985001579
414	0.2983981237
415	0.2983468487
416	0.2982964824
417	0.2982097156
418	0.2981339044
419	0.2979585447
420	0.2978667369
421	0.2977683984
422	0.2976735027
423	0.2975646069
424	0.297478643
425	0.2974100824
426	0.2973539788
427	0.2973064498
428	0.2972385858
429	0.2971673562
430	0.2970341609
431	0.2969183602
432	0.2968304632
433	0.2967520498
434	0.296698937
435	0.296635725
436	0.2965638433
437	0.2964651942
438	0.2964007622
439	0.2962021793
440	0.2960187266
441	0.2959468152
442	0.2958773684
443	0.295712603
444	0.2956486732
445	0.295563098
446	0.2953426051
447	0.2950649879
448	0.2949973508
449	0.2949397492
450	0.2948774987
451	0.294809648
452	0.2947498434
453	0.2946318807
454	0.294550595
455	0.2944800957
456	0.294385687
457	0.2943250701
458	0.2942520457
459	0.2941902693
460	0.2940953069
461	0.2939879638
462	0.2939252361
463	0.2938695415
464	0.2937927184
465	0.2937397129
466	0.2936791491
467	0.2936017621
468	0.2935594466
469	0.2934881315
470	0.2933734613
471	0.2933155207
472	0.2932487573
473	0.2931198379
474	0.2930318616
475	0.2929526566
476	0.2928876186
477	0.2927676622
478	0.2927031802
479	0.2926546194
480	0.2925868409
481	0.2925115229
482	0.2924444756
483	0.2923648992
484	0.2923193997
485	0.2922298898
486	0.2921427142
487	0.2920799622
488	0.2920271735
489	0.2919538328
490	0.2918792431
491	0.2918357646
492	0.2917776069
493	0.291727662
494	0.2916770884
495	0.2916082527
496	0.291529789
497	0.2914749715
498	0.2914071267
499	0.2913493727
500	0.291246149
501	0.2911914139
502	0.291130922
503	0.2910797688
504	0.290898616
505	0.290856429
506	0.290805819
507	0.2907610775
508	0.290689188
509	0.2906481187
510	0.2905909209
511	0.2905374589
512	0.2904796553
513	0.2903316398
514	0.2902533088
515	0.2901811772
516	0.29012199
517	0.2900315214
518	0.2899910609
519	0.2899025106
520	0.289845683
521	0.2898031562
522	0.2897454241
523	0.2896970429
524	0.2895977358
525	0.2895481846
526	0.2895059129
527	0.2894379825
528	0.2893854484
529	0.2893254392
530	0.2892603816
531	0.2892173452
532	0.2891617036
533	0.289101002
534	0.2890402031
535	0.2889919964
536	0.2889451407
537	0.288874395
538	0.2888044139
539	0.2887486896
540	0.2886832262
541	0.2886174711
542	0.2885474323
543	0.2884932962
544	0.2884363812
545	0.2883861789
546	0.2883394649
547	0.2882955057
548	0.2882144133
549	0.2881623638
550	0.2881102105
551	0.2880444136
552	0.2879916425
553	0.2879336343
554	0.2878381716
555	0.2878001125
556	0.2877480486
557	0.2876756076
558	0.2875958676
559	0.2875187559
560	0.2874663808
561	0.287378276
562	0.2873369532
563	0.2872766363
564	0.287228942
565	0.2871673675
566	0.2870845115
567	0.287004406
568	0.2869162239
569	0.2868704245
570	0.2867889115
571	0.2867240804
572	0.2866657063
573	0.2866073334
574	0.2865677114
575	0.2864974949
576	0.286454337
577	0.2863453725
578	0.2862991236
579	0.2862401087
580	0.2861750745
581	0.286090911
582	0.2860115463
583	0.285950747
584	0.2858673993
585	0.2858154397
586	0.2857452267
587	0.2856932842
588	0.2856342826
589	0.2855778299
590	0.2855316196
591	0.2854760113
592	0.2853732691
593	0.2853004618
594	0.2852193757
595	0.2851787512
596	0.2851085347
597	0.2850550902
598	0.2849900295
599	0.28491959
600	0.2848538556
601	0.2847789917
602	0.2847096887
603	0.2846482966
604	0.2845833425
605	0.2844980198
606	0.284447124
607	0.2843893221
608	0.2843450735
609	0.2842857582
610	0.2842410097
611	0.2841694607
612	0.2841308037
613	0.2840756862
614	0.284032542
615	0.2839880376
616	0.2839224688
617	0.2838762734
618	0.2838249956
619	0.2837650118
620	0.2837027109
621	0.2836472908
622	0.2836060063
623	0.2835675645
624	0.2835054972
625	0.283418885
626	0.2833818319
627	0.2833089602
628	0.2832641207
629	0.2831882903
630	0.2831281432
631	0.2830710903
632	0.2830237792
633	0.2829626257
634	0.2828881313
635	0.2828221911
636	0.2827587085
637	0.2827256884
638	0.2826727063
639	0.2826119262
640	0.282574274
641	0.28253396
642	0.2824978684
643	0.2824472202
644	0.2824045059
645	0.2823658525
646	0.282300311
647	0.282236076
648	0.2821778091
649	0.2821227381
650	0.2820676349
651	0.2820083976
652	0.2819593945
653	0.2819073813
654	0.2818644553
655	0.2818084425
656	0.2817530978
657	0.2816632239
658	0.2816245113
659	0.2815711891
660	0.2815363349
661	0.2814710685
662	0.2814295235
663	0.2813737804
664	0.281314348
665	0.2812900129
666	0.2812520659
667	0.2812140595
668	0.2811684216
669	0.2811206483
670	0.2809913201
671	0.2809668353
672	0.2808672132
673	0.2808438285
674	0.280788891
675	0.2807556443
676	0.2806700899
677	0.2806298496
678	0.2805873475
679	0.2805489084
680	0.2804933516
681	0.2803570841
682	0.2803031006
683	0.280242432
684	0.280192936
685	0.2801400342
686	0.2800858597
687	0.2800318816
688	0.2799533064
689	0.2798778279
690	0.2798228246
691	0.2797709784
692	0.279716135
693	0.2796343345
694	0.2795753256
695	0.2795278165
696	0.2794718098
697	0.2794058005
698	0.2793412947
699	0.2792770384
700	0.2791929464
701	0.2791551911
702	0.2790957813
703	0.2790457529
704	0.2790016529
705	0.2789463888
706	0.2788986746
707	0.2788394031
708	0.2787843112
709	0.278722215
710	0.2786746613
711	0.2786277475
712	0.278578604
713	0.2785314945
714	0.2784916915
715	0.2784322577
716	0.2783580108
717	0.2783320298
718	0.2782707363
719	0.2781223892
720	0.2780907886
721	0.2780403821
722	0.2779789979
723	0.2779444992
724	0.2778169459
725	0.2777834058
726	0.2777257091
727	0.2776694716
728	0.2776081666
729	0.27755852
730	0.2774843447
731	0.2774464457
732	0.2774058861
733	0.2773351025
734	0.277261075
